AURUM,NC added,GOLD,Joht Labelling,Paper Labelling,Final Names,Paper Short Name,Organ System,QOF,
CPRDAurum_PrimaryMalignancy_Skin_Exl_BCC,x,CPRD_PRI_SKIN_NO_BCC,Malignant Neoplasm of Skin (excluding basal cell carcinoma),,,,Cancers,1,
CPRDAurum_AbdominalAorticAneurysm,x,CPRD_AAA,Abdominal Aortic Aneurysm,Abdominal Aortic Aneurysm,Abdominal Aortic Aneurysm,aaa,Circulatory System Diagnoses,,
CPRDAurum_Acne,x,CPRD_ACNE,Acne,Acne,Acne,acne,Skin Diagnoses,,
CPRDAurum_ActinicKeratosis,x,CPRD_ACTINIC_KERATOSIS,Actinic keratosis,Actinic keratosis,Actinic keratosis,act_keratosis,Skin Diagnoses,,
CPRDAurum_Agranulocytosis,x,CPRD_AGRANULOCYTOSIS,Agranulocytosis,Agranulocytosis,Agranulocytosis,agranulocytosis,Blood and Immune System Diagnoses,,
Alcoholic_liver_disease,x,CPRD_LIVER_ALC,Alcoholic hepatitis,Alcoholic Liver Disease,Alcoholic Liver Disease,alc_liv_dz,Digestive System Diagnoses,,
CPRDAurum_AlcoholMisuse,x,CPRD_ALC_PROBLEMS,Alcohol abuse,Alcohol Misuse,Alcohol Misuse,alcohol,Mental and Behavioural Diagnoses,,
CPRDAurum_Allergicandchronicrhinitis,x,CPRD_ALLERGIC_RHINITIS,AllergicOrChronic Rhinitis,Allergic/chronic Rhinitis,Allergic/chronic Rhinitis,rhinitis,Respiratory System Diagnoses,,
CPRDAurum_AlopeciaAreata,x,CPRD_ALOPECIA_AREATA,Alopecia Areata,Alopecia Areata,Alopecia Areata,alopecia_areata,Skin Diagnoses,,
CPRDAurum_Anaemia_other,x,CPRD_OTH_ANAEMIA,Other Deficiency Anaemia,Anaemia - other,Anaemia - other,oth_anaemia,Blood and Immune System Diagnoses,,
analfissure_IBD_DD,x,CPRD_ANAL_FISSURE,Anal Fissure,Anal Fissure,Anal Fissure,anal_fiss,Digestive System Diagnoses,,
CPRDAurum_Angiodysplasia_colon,x,CPRD_ANGIODYSPLASIA_COLON,Angiodysplasia of colon,Angiodysplasia of colon,Angiodysplasia of colon,angio_colon,Digestive System Diagnoses,,
CPRDAurum_AnkylosingSpondylitis,x,CPRD_ANK_SPOND,Ankylosing Spondylosis,Ankylosing Spondylosis,Ankylosing Spondylosis,ank_spond,Musculoskeletal Diagnoses,,
CPRDAurum_anorectal_fistula,x,CPRD_ANORECTAL_FISTULA,Anorectal Fistula,Anorectal Fistula,Anorectal Fistula,anorectal_fistula,Digestive System Diagnoses,,
CPRDAurum_anorectal_prolapse,x,CPRD_ANORECTAL_PROLAPSE,Anorectal Prolapse,Anorectal Prolapse,Anorectal Prolapse,anorectal_prolapse,Digestive System Diagnoses,,
CPRDAurum_AnteriorandIntermediate_Uveitis,x,CPRD_ANT_UVEITIS,Anterior Uveitis,Anterior Uveitis,Anterior Uveitis,ant_uveitis,Eye Diagnoses,,
CPRDAurum_Anxietydisorders,x,CPRD_ANXIETY,Anxiety,Anxiety,Anxiety,anxiety,Mental and Behavioural Diagnoses,,
CPRDAurum_AplasticAnaemias,x,CPRD_APLASTIC,Aplastic Anaemia,Aplastic Anaemia,Aplastic Anaemia,aplastic,Blood and Immune System Diagnoses,,
